qwen3.6-27b-mtp-d2 | Quick Start  |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=7 | ctok=8 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Trap         |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=54 | ctok=12494 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Expertise    |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=72 | ctok=2963 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Data Process |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=180 | ctok=6130 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Calculations |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=214 | ctok=2806 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Code         |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=156 | ctok=1331 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | UI           |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=171 | ctok=4829 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Creativity   |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=120 | ctok=593 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Summary      |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=8536 | ctok=4340 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2 | Long Context |   50.0 t/s | ttft=0ms | vram=  IDLE | ptok=5081 | ctok=1862 | mtplx | draft_accept=0/0
qwen3.6-27b-mtp-d2       CENSORSHIP  0/20  0% uncensored
qwen3.5-35b-nvfp4 | Quick Start  |  103.3 t/s | ttft=179ms | vram=  IDLE | ptok=17 | ctok=704 | ollama
qwen3.5-35b-nvfp4 | Trap         |    N/A t/s | ttft=179ms | vram=  IDLE | ptok=17 | ctok=704 | ollama
qwen3.5-35b-nvfp4 | Expertise    |  101.9 t/s | ttft=134ms | vram=  IDLE | ptok=82 | ctok=2802 | ollama
qwen3.5-35b-nvfp4 | Data Process |   99.0 t/s | ttft=211ms | vram=  IDLE | ptok=190 | ctok=9342 | ollama
qwen3.5-35b-nvfp4 | Calculations |   99.7 t/s | ttft=217ms | vram=  IDLE | ptok=224 | ctok=7322 | ollama
qwen3.5-35b-nvfp4 | Code         |   98.1 t/s | ttft=182ms | vram=  IDLE | ptok=166 | ctok=11672 | ollama
qwen3.5-35b-nvfp4 | UI           |  100.8 t/s | ttft=195ms | vram=  IDLE | ptok=181 | ctok=4985 | ollama
qwen3.5-35b-nvfp4 | Creativity   |  100.0 t/s | ttft=187ms | vram=  IDLE | ptok=130 | ctok=6825 | ollama
qwen3.5-35b-nvfp4 | Summary      |   95.2 t/s | ttft=5454ms | vram=  IDLE | ptok=8529 | ctok=3125 | ollama
qwen3.5-35b-nvfp4 | Long Context |   95.9 t/s | ttft=3105ms | vram=  IDLE | ptok=5045 | ctok=7210 | ollama
qwen3.5-35b-nvfp4        CENSORSHIP  2/20  10% uncensored
qwen3-next-80b-4bit | Quick Start  |    4.9 t/s | ttft=3937ms | vram=41.8GB | ptok=9 | ctok=21 | mlx
qwen3-next-80b-4bit | Trap         |   28.0 t/s | ttft=4687ms | vram=41.8GB | ptok=56 | ctok=256 | mlx
qwen3-next-80b-4bit | Expertise    |   28.1 t/s | ttft=4795ms | vram=41.8GB | ptok=86 | ctok=257 | mlx
qwen3-next-80b-4bit | Data Process |   28.1 t/s | ttft=4729ms | vram=41.8GB | ptok=201 | ctok=256 | mlx
qwen3-next-80b-4bit | Calculations |   27.4 t/s | ttft=5049ms | vram=41.8GB | ptok=257 | ctok=256 | mlx
qwen3-next-80b-4bit | Code         |   27.9 t/s | ttft=4800ms | vram=41.8GB | ptok=174 | ctok=255 | mlx
qwen3-next-80b-4bit | UI           |   27.5 t/s | ttft=4822ms | vram=41.8GB | ptok=192 | ctok=256 | mlx
qwen3-next-80b-4bit | Creativity   |   27.1 t/s | ttft=4706ms | vram=41.8GB | ptok=140 | ctok=256 | mlx
qwen3-next-80b-4bit | Summary      |   13.4 t/s | ttft=14607ms | vram=41.8GB | ptok=10617 | ctok=256 | mlx
qwen3-next-80b-4bit | Long Context |   19.0 t/s | ttft=9190ms | vram=41.8GB | ptok=5361 | ctok=256 | mlx
qwen3-next-80b-4bit      CENSORSHIP  4/20  20% uncensored
qwen3.6-35b-optiq | Quick Start  |   17.0 t/s | ttft=313ms | vram=20.6GB | ptok=7 | ctok=7 | mlx
qwen3.6-35b-optiq | Trap         |   70.1 t/s | ttft=350ms | vram=20.6GB | ptok=54 | ctok=256 | mlx
qwen3.6-35b-optiq | Expertise    |   70.2 t/s | ttft=383ms | vram=20.6GB | ptok=72 | ctok=256 | mlx
qwen3.6-35b-optiq | Data Process |   68.6 t/s | ttft=449ms | vram=20.6GB | ptok=180 | ctok=256 | mlx
qwen3.6-35b-optiq | Calculations |   70.1 t/s | ttft=443ms | vram=20.6GB | ptok=214 | ctok=256 | mlx
qwen3.6-35b-optiq | Code         |   70.9 t/s | ttft=418ms | vram=20.6GB | ptok=156 | ctok=256 | mlx
qwen3.6-35b-optiq | UI           |   70.1 t/s | ttft=433ms | vram=20.6GB | ptok=171 | ctok=256 | mlx
qwen3.6-35b-optiq | Creativity   |   71.0 t/s | ttft=410ms | vram=20.6GB | ptok=120 | ctok=256 | mlx
qwen3.6-35b-optiq | Summary      |   28.8 t/s | ttft=5522ms | vram=20.6GB | ptok=8536 | ctok=258 | mlx
qwen3.6-35b-optiq | Long Context |   38.8 t/s | ttft=3288ms | vram=20.6GB | ptok=5081 | ctok=256 | mlx
qwen3.6-35b-optiq        CENSORSHIP  1/20  5% uncensored
gemma4-26b-heretic | Quick Start  |  103.8 t/s | ttft=281ms | vram=13.2GB | ptok=9 | ctok=256 | mlx
gemma4-26b-heretic | Trap         |   99.6 t/s | ttft=348ms | vram=13.2GB | ptok=52 | ctok=256 | mlx
gemma4-26b-heretic | Expertise    |  100.1 t/s | ttft=346ms | vram=13.2GB | ptok=74 | ctok=256 | mlx
gemma4-26b-heretic | Data Process |   95.6 t/s | ttft=412ms | vram=13.2GB | ptok=172 | ctok=254 | mlx
gemma4-26b-heretic | Calculations |   94.6 t/s | ttft=433ms | vram=13.2GB | ptok=224 | ctok=253 | mlx
gemma4-26b-heretic | Code         |   60.5 t/s | ttft=411ms | vram=13.2GB | ptok=165 | ctok=161 | mlx
gemma4-26b-heretic | UI           |   98.6 t/s | ttft=399ms | vram=13.2GB | ptok=174 | ctok=256 | mlx
gemma4-26b-heretic | Creativity   |   92.4 t/s | ttft=367ms | vram=13.2GB | ptok=118 | ctok=236 | mlx
gemma4-26b-heretic | Summary      |   28.5 t/s | ttft=6604ms | vram=13.2GB | ptok=8591 | ctok=261 | mlx
gemma4-26b-heretic | Long Context |   38.8 t/s | ttft=3975ms | vram=13.2GB | ptok=5270 | ctok=249 | mlx
gemma4-26b-heretic       CENSORSHIP  18/20  90% uncensored
dawncr0w-35b-unc | Quick Start  |   27.4 t/s | ttft=287ms | vram=18.4GB | ptok=7 | ctok=12 | mlx
dawncr0w-35b-unc | Trap         |   74.8 t/s | ttft=333ms | vram=18.4GB | ptok=54 | ctok=256 | mlx
dawncr0w-35b-unc | Expertise    |   74.6 t/s | ttft=357ms | vram=18.4GB | ptok=72 | ctok=256 | mlx
dawncr0w-35b-unc | Data Process |   71.8 t/s | ttft=441ms | vram=18.4GB | ptok=180 | ctok=256 | mlx
dawncr0w-35b-unc | Calculations |   72.3 t/s | ttft=445ms | vram=18.4GB | ptok=214 | ctok=256 | mlx
dawncr0w-35b-unc | Code         |   70.6 t/s | ttft=426ms | vram=18.4GB | ptok=156 | ctok=256 | mlx
dawncr0w-35b-unc | UI           |   72.1 t/s | ttft=425ms | vram=18.4GB | ptok=171 | ctok=256 | mlx
dawncr0w-35b-unc | Creativity   |   73.5 t/s | ttft=394ms | vram=18.4GB | ptok=120 | ctok=255 | mlx
dawncr0w-35b-unc | Summary      |   29.6 t/s | ttft=5468ms | vram=18.4GB | ptok=8536 | ctok=258 | mlx
dawncr0w-35b-unc | Long Context |   39.2 t/s | ttft=3295ms | vram=18.4GB | ptok=5081 | ctok=256 | mlx
dawncr0w-35b-unc         CENSORSHIP  20/20  100% uncensored
gemma3-12b | Quick Start  |    6.7 t/s | ttft=271ms | vram= 6.7GB | ptok=10 | ctok=2 | mlx
gemma3-12b | Trap         |   52.7 t/s | ttft=343ms | vram= 6.7GB | ptok=53 | ctok=257 | mlx
gemma3-12b | Expertise    |   52.0 t/s | ttft=407ms | vram= 6.7GB | ptok=75 | ctok=257 | mlx
gemma3-12b | Data Process |   49.8 t/s | ttft=592ms | vram= 6.7GB | ptok=173 | ctok=257 | mlx
gemma3-12b | Calculations |   49.2 t/s | ttft=647ms | vram= 6.7GB | ptok=225 | ctok=257 | mlx
gemma3-12b | Code         |   49.8 t/s | ttft=589ms | vram= 6.7GB | ptok=166 | ctok=257 | mlx
gemma3-12b | UI           |   49.5 t/s | ttft=607ms | vram= 6.7GB | ptok=175 | ctok=257 | mlx
gemma3-12b | Creativity   |   51.1 t/s | ttft=452ms | vram= 6.7GB | ptok=119 | ctok=257 | mlx
gemma3-12b | Summary      |   11.5 t/s | ttft=17290ms | vram= 6.7GB | ptok=8592 | ctok=257 | mlx
gemma3-12b | Long Context |   16.5 t/s | ttft=10544ms | vram= 6.7GB | ptok=5271 | ctok=257 | mlx
gemma3-12b               CENSORSHIP  9/20  45% uncensored
gemma3-4b | Quick Start  |    9.4 t/s | ttft=198ms | vram= 2.4GB | ptok=10 | ctok=2 | mlx
gemma3-4b | Trap         |  131.2 t/s | ttft=206ms | vram= 2.4GB | ptok=53 | ctok=257 | mlx
gemma3-4b | Expertise    |  129.1 t/s | ttft=232ms | vram= 2.4GB | ptok=75 | ctok=257 | mlx
gemma3-4b | Data Process |  123.5 t/s | ttft=284ms | vram= 2.4GB | ptok=173 | ctok=257 | mlx
gemma3-4b | Calculations |  121.6 t/s | ttft=317ms | vram= 2.4GB | ptok=225 | ctok=257 | mlx
gemma3-4b | Code         |  124.3 t/s | ttft=287ms | vram= 2.4GB | ptok=166 | ctok=257 | mlx
gemma3-4b | UI           |  123.6 t/s | ttft=294ms | vram= 2.4GB | ptok=175 | ctok=257 | mlx
gemma3-4b | Creativity   |  126.4 t/s | ttft=247ms | vram= 2.4GB | ptok=119 | ctok=257 | mlx
gemma3-4b | Summary      |   34.6 t/s | ttft=5508ms | vram= 2.4GB | ptok=8592 | ctok=257 | mlx
gemma3-4b | Long Context |   48.8 t/s | ttft=3385ms | vram= 2.4GB | ptok=5271 | ctok=257 | mlx
gemma3-4b                CENSORSHIP  14/20  70% uncensored
